person,name,party,99_vote,103_vote,104_vote,105_vote,107_vote,108_vote,125_vote,22_vote,30_vote,vote_18,vote_36,vote_31,vote_74,vote_120,vote_81,vote_116,vote_118,vote_123,vote_43,vote_64,vote_10,,,,,
400004,Rep. Robert Aderholt [R],Republican,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
400030,Rep. Sanford Bishop Jr. [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400033,Rep. Earl Blumenauer [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400046,Rep. Kevin Brady [R],Republican,0,-1,-1,-1,-1,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
400052,Rep. Michael Burgess [R],Republican,-1,-1,-1,-1,-1,1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,,,,,
400057,Rep. Ken Calvert [R],Republican,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
400068,Rep. John Carter [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
400069,Rep. Ed Case [D],Democrat,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400071,Rep. Steve Chabot [R],Republican,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
400075,Rep. James “Jim” Clyburn [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400077,Rep. Tom Cole [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
400081,Rep. Jim Cooper [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400093,Rep. Danny Davis [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400100,Rep. Peter DeFazio [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400101,Rep. Diana DeGette [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400103,Rep. Rosa DeLauro [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400108,Rep. Mario Diaz-Balart [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
400111,Rep. Lloyd Doggett [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400114,Rep. Michael Doyle [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400124,Rep. Anna Eshoo [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400157,Rep. Kay Granger [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
400158,Rep. Sam Graves [R],Republican,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
400162,Rep. Raúl Grijalva [D],Democrat,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400189,Rep. Steny Hoyer [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400196,Rep. Darrell Issa [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
400199,Rep. Sheila Jackson Lee [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400204,Rep. Eddie Johnson [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400211,Rep. Marcy Kaptur [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400218,Rep. Ron Kind [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400230,Rep. James “Jim” Langevin [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400232,Rep. Rick Larsen [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400233,Rep. John Larson [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
400237,Rep. Barbara Lee [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
